ver	name	area	isa	type	equipment	service	description	manufacturer	model	datasheet	plc	iotype	pid	location	wiringDiagram	JboxPanel	SuppliedBy	InstalledBy	ConnectedBy	RIO	RACK	SLOT	POINT	PLC_TAG	PLC_DESCRIPTION	OPCTAG	Note
1	2400-HK-2204	2400	HK		400-CVO-02	JIGS CONCENTRATRE TRANSFER CONVEYOR	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2205	2400	HK		400-CVO-03	JIGS REFUSE CONVEYOR	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2302	2400	HK		400-VIF-02	WIDE VIBRATING FEEDER #2	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	DSOT-DW-2400-IC-8705	2400-VIF-02-CP	PME010	OEM	OEM								
1	2400-HK-2317	2400	HK		400-BLO-02	JIG AIR BLOWER #2	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2318	2400	HK		400-HPP-02	JIG HYDRAULIC UNIT #2	MOTORM1 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2319	2400	HK		400-HPP-02	JIG HYDRAULIC UNIT #2	MOTOR M3 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2320	2400	HK		400-HPP-02	JIG HYDRAULIC UNIT #2	MOTOR M2 PUSH BUTTON STATION	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A	TBD		OEM	OEM	OEM								
1	2400-HK-2345	2400	HK		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	10-4-018414 12/37	2400-JIG-02-CP	PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HK-2353	2400	HK		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	10-4-018414 16/37	2400-JIG-02-CP	PME010	OEM	OEM								
0	2400-HK-2361	2400	HK		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	TBD		PME010	OEM	OEM								
0	2400-HK-2401	2400	HK		400-VIS-02	FINE JIG CONCENTRATE SCREEN #2	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8024	N/A	TBD		PME010	OEM	OEM								
1	2400-HK-2402	2400	HK		400-VIS-04	FINE JIG TAILING SCREEN #2	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8024	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2506	2400	HK		400-SLP-01	JIGS SCREENS TRANSFER PUMP	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2508	2400	HK		400-SUP-01	FINE JIGS AREA SUMP PUMP	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
3	2400-HK-2516	2400	HK		400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	PUSH BUTTON STATION	N/A	N/A	SEE FV	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2517	2400	HK		400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	PUSH BUTTON STATION	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8025	N/A	DSOT-DW-2000-EL-8190		AECOM	EL Contractor	EL Contractor								
1	2400-HK-2602	2400	HK		400-BAM-01	BALL MILL	TIRE PRESSURE MONITORING SYSTEM	PRESSURE PRO	GWB16-1.0 J1939	-	N/A	N/A	DSOT-DW-2400-IC-8026	N/A	DSOT-DW-2400-IC-8723	2400-HK-2602	PME015	EL Contractor	EL Contractor								
1	2400-HK-2814	2400	HK		400-ROM-01	ROD MILL	PUSH BUTTON STATION	TBD	TBD	-	2200-PLC-01	-	DSOT-DW-2400-IC-8028	N/A	DSOT-VP-2450-M2-0144-0117	2400-ROM-01-JB-01	PST002	EL Contractor	EL Contractor								
1	2400-HK-2831	2400	HK		400-HK-2831	ROD MILL	REMOTE CONTROL BOX	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A	TBD		PST002	EL Contractor	EL Contractor								
1	2400-HS-2103	2400	HS		400-VIF-01	WIDE VIBRATING FEEDER #1	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8021	N/A	DSOT-DW-2400-IC-8702	2400-VIF-01-CP	PME010	OEM	I&C Contractor	2200-RIO-02	0	3	14		400-VIF-01-Feeder in Remote Mode		
1	2400-HS-2104	2400	HS		400-VIF-01	WIDE VIBRATING FEEDER #1	START PUSH BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A	DSOT-DW-2400-IC-8702	2400-VIF-01-CP	PME010	OEM	OEM								
1	2400-HS-2105	2400	HS		400-VIF-01	WIDE VIBRATING FEEDER #1	STOP PUSH BUTTON	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8021	N/A	DSOT-DW-2400-IC-8702	2400-VIF-01-CP	PME010	OEM	OEM	2200-RIO-02	0	3	13		400-VIF-01-Feeder Local Stop Cmd.		
1	2400-HS-2145	2400	HS		400-JIG-01	FINE JIG #1	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								
1	2400-HS-2153	2400	HS		400-JIG-01	FINE JIG #1	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HS-2161	2400	HS		400-JIG-01	FINE JIG #1	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HS-2201	2400	HS		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	LOCAL / REMOTE SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8704	2400-VIS-01-CP	PME010	OEM	OEM	2200-RIO-02	0	7	10		400-VIS-01-Screen in Remote Mode		INSTRUMENT INCLUDED 
1	2400-HS-2206	2400	HS		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	LOCAL START SWITCH	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8022	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED 
1	2400-HS-2207	2400	HS		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	LOCAL STOP SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8704	2400-VIS-01-CP	PME010	OEM	OEM	2200-RIO-02	0	7	11		400-VIS-01-Screen Local Stop Cmd.		INSTRUMENT INCLUDED 
1	2400-HS-2303	2400	HS		400-VIF-02	WIDE VIBRATING FEEDER #2	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8023	N/A	DSOT-DW-2400-IC-8705	2400-VIF-02-CP	PME010	OEM	I&C Contractor	2200-RIO-02	0	5	14		400-VIF-02-Feeder in Remote Mode		
1	2400-HS-2304	2400	HS		400-VIF-02	WIDE VIBRATING FEEDER #2	START PUSH BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A	DSOT-DW-2400-IC-8705	2400-VIF-02-CP	PME010	OEM	OEM								
1	2400-HS-2305	2400	HS		400-VIF-02	WIDE VIBRATING FEEDER #2	STOP PUSH BUTTON	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8023	N/A	DSOT-DW-2400-IC-8705	2400-VIF-02-CP	PME010	OEM	OEM	2200-RIO-02	0	5	13		400-VIF-02-Feeder Local Stop Cmd.		
1	2400-HS-2345	2400	HS		400-JIG-02	FINE JIG #2	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HS-2353	2400	HS		400-JIG-02	FINE JIG #2	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HS-2361	2400	HS		400-JIG-02	FINE JIG #2	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								
1	2400-HS-2401	2400	HS		400-VIS-02	FINE JIG TAILING SCREEN #1	LOCAL / REMOTE SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8024	N/A	DSOT-DW-2400-IC-8712	2400-VIS-02-CP	PME010	OEM	OEM	2200-RIO-02	0	7	14		400-VIS-02-Screen in Remote Mode		INSTRUMENT INCLUDED
1	2400-HS-2406	2400	HS		400-VIS-02	FINE JIG CONCENTRATE SCREEN #2	LOCAL START WITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8024	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HS-2407	2400	HS		400-VIS-02	FINE JIG TAILING SCREEN #1	LOCAL STOP SWITCH	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8024	N/A	DSOT-DW-2400-IC-8712	2400-VIS-02-CP	PME010	OEM	OEM	2200-RIO-02	0	7	15		400-VIS-02-Screen Local Stop Cmd.		INSTRUMENT INCLUDED
0	2400-HS-2611A	2400	HS		400-BAM-01	BALL MILL	START PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2611B	2400	HS		400-BAM-01	BALL MILL	START PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2612A	2400	HS		400-BAM-01	BALL MILL	STOP PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2612B	2400	HS		400-BAM-01	BALL MILL	STOP PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2613A	2400	HS		400-BAM-01	BALL MILL	RESET PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2613B	2400	HS		400-BAM-01	BALL MILL	RESET PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2614	2400	HS		400-BAM-01	BALL MILL	LOCAL / OPERATOR / REMOTE SELECTOR SWITCH	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-HS-2615	2400	HS		400-BAM-01	BALL MILL	JOG PUSH BUTTON	TBD	TBD	-	TBD	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
1	2400-HS-2618	2400	HS		400-BBO-01	BALL MILL BALL BUCKET	PUSH BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8026	N/A			OEM	I&C Contractor	I&C Contractor								MANUAL OPERATED VALVE
1	2400-HS-2814A	2400	HS		400-ROM-01	ROD MILL	FORWARD SWITCH	TBD	TBD	-		DI	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								DSOT-VP-2450-M2-0144-0117
1	2400-HS-2814B	2400	HS		400-ROM-01	ROD MILL	REVERSE SWITCH	TBD	TBD	-		DI	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								DSOT-VP-2450-M2-0144-0117
1	2400-HS-2814C	2400	HS		400-ROM-01	ROD MILL	SP SWITCH	TBD	TBD	-		DI	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								DSOT-VP-2450-M2-0144-0117
3	2400-HS-2831A	2400	HS		400-VFD-02	ROD MILL	PUSH BUTTON	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								
1	2400-HS-2831C	2400	HS		400-VFD-02	ROD MILL	START BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM						"400-VFD-02, ROD MILL, START BUTTON"		
1	2400-HS-2831D	2400	HS		400-HK-2831	ROD MILL	START PUSH BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM						"400-HK-2831, ROD MILL, START PUSH BUTTON"		
1	2400-HS-2831E	2400	HS		400-VFD-02	ROD MILL	STOP BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM						"400-VFD-02, ROD MILL, STOP BUTTON"		
1	2400-HS-2831F	2400	HS		400-HK-2831	ROD MILL	STOP PUSH BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM						"400-HK-2831, ROD MILL, STOP PUSH BUTTON"		
1	2400-HS-2831G	2400	HS		400-VFD-02	ROD MILL	RESET BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								
1	2400-HS-2831H	2400	HS		400-ROM-01	ROD MILL	RESET BUTTON	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								
1	2400-HS-2831M	2400	HS		400-HK-2831	ROD MILL	LOCAL / REMOTE SELECTOR SWITCH	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM						"400-HK-2831, ROD MILL, LOCAL / REMOTE SELECTOR SWITCH"		
1	2400-HS-2912	2400	HS		400-ROM-01	ROD MILL	EMERGENCY STOP				2200-PLC-01	TBD	DSOT-DW-2400-IC-8029	N/A			PST002	OEM	OEM								
3	2400-HS-2927	2400	HS		400-ROM-01	"ROD MILL, GEAR SPRAY SYS."	MANUAL OPERATION PUSH BUTTON				2200-PLC-01	DI	DSOT-DW-2400-IC-8029	N/A	DSOT-DW-2400-IC-8724	2400-LOU-01	OEM	OEM	I&C Contractor	2200-RIO-02	0	6	12		400-LOU-01-Unit in Manual Mode		
3	2400-HS-2928	2400	HS		400-ROM-01	"ROD MILL, GREASE LUBRIFICATION"	MANUAL OPERATION PUSH BUTTON				2200-PLC-01	DI	DSOT-DW-2400-IC-8029	N/A	DSOT-DW-2400-IC-8725	2400-LOU-02	OEM	OEM	I&C Contractor	2200-RIO-02	0	6	6		400-LOU-02-Unit in Manual Mode		
1	2400-HSC-2145	2400	HSC		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE CLOSE	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								
1	2400-HSC-2153	2400	HSC		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE CLOSE	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSC-2161	2400	HSC		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE CLOSE	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSC-2345	2400	HSC		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE CLOSE	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSC-2353	2400	HSC		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE CLOSE	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSC-2361	2400	HSC		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE CLOSE SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								
1	2400-HSD-2201	2400	HSD		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	REMOTE CONTROL SPEED DOWN SWITCH 	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8022	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED 
1	2400-HSD-2401	2400	HSD		400-VIS-02	FINE JIG CONCENTRATE SCREEN #2	REMOTE SPEED DOWN SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8024	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSO-2145	2400	HSO		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE OPEN	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								
1	2400-HSO-2153	2400	HSO		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE OPEN	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSO-2161	2400	HSO		400-JIG-01	FINE JIG #1	REMOTE CONTROL BOX GATE OPEN	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSO-2345	2400	HSO		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE OPEN  	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSO-2353	2400	HSO		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE OPEN  	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HSO-2361	2400	HSO		400-JIG-02	FINE JIG #2	REMOTE CONTROL BOX GATE OPEN SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								
1	2400-HSS-2203A	2400	HSS		400-CVO-01	JIGS CONCENTRATRE CONVEYOR	EMERGENCY STOP (LEFT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8158	2400-CVO-01-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-02	0	3	0		400-CVO-01-Conv. Left Side E-STOP (NOT)		
1	2400-HSS-2203B	2400	HSS		400-CVO-01	JIGS CONCENTRATRE CONVEYOR	EMERGENCY STOP (RIGHT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8158	2400-CVO-01-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-02	0	3	1		400-CVO-01-Conv. Right Side E-STOP (NOT)		
1	2400-HSS-2204A	2400	HSS		400-CVO-02	JIGS CONCENTRATRE TRANSFER CONVEYOR	EMERGENCY STOP (LEFT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8159	2400-CVO-02-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-03	0	1	0		400-CVO-02-Conv. Left Side E-STOP (NOT)		
1	2400-HSS-2204B	2400	HSS		400-CVO-02	JIGS CONCENTRATRE TRANSFER CONVEYOR	EMERGENCY STOP (RIGHT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8159	2400-CVO-02-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-03	0	1	1		400-CVO-02-Conv. Right Side E-STOP (NOT)		
1	2400-HSS-2205A	2400	HSS		400-CVO-03	JIGS REFUSE CONVEYOR	EMERGENCY STOP (LEFT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8160	2400-CVO-03-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-02	0	4	0		400-CVO-03-Conv. Left Side E-STOP (NOT)		
1	2400-HSS-2205B	2400	HSS		400-CVO-03	JIGS REFUSE CONVEYOR	EMERGENCY STOP (RIGHT SIDE)	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8022	N/A	DSOT-DW-2400-IC-8160	2400-CVO-03-JBD-01	TS Manuf.	I&C Contractor	I&C Contractor	2200-RIO-02	0	4	1		400-CVO-03-Conv. Right Side E-STOP (NOT)		
0	2400-HSS-2602A	2400	HSS		400-BAM-01	BALL MILL	EMERGENCY STOP	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM						"400-BAM-01, BALL MILL, EMERGENCY STOP"		
1	2400-HSS-2602B	2400	HSS		400-BAM-01	BALL MILL	EMERGENCY STOP	TBD	TBD	-	2200-PLC-01	DI	DSOT-DW-2400-IC-8026	N/A	DSOT-DW-2400-IC-8723	2400-HK-2602	PME015	OEM	OEM	2200-RIO-02	0	1	14		400-BAM-01-Ball Mill E-STOP (NOT)		
3	2400-HSS-2831A	2400	HSS		400-VFD-02	ROD MILL	EMERGENCY STOP	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								
1	2400-HSS-2831B	2400	HSS		400-HK-2831	ROD MILL	EMERGENCY STOP	TBD	TBD	-		DI	DSOT-DW-2400-IC-8028	N/A			PST002	OEM	OEM								
1	2400-HSU-2201	2400	HSU		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	REMOTE CONTROL SPEED UP SWITCH 	TBD	TBD	-	2400-JIG-01-CP	DI	DSOT-DW-2400-IC-8022	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED 
1	2400-HSU-2401	2400	HSU		400-VIS-02	FINE JIG CONCENTRATE SCREEN #2	REMOTE SPEED UP SWITCH	TBD	TBD	-	2400-JIG-02-CP	DI	DSOT-DW-2400-IC-8024	N/A			PME010	OEM	OEM								INSTRUMENT INCLUDED
1	2400-HZ-2106	2400	HZ		400-VIF-01	WIDE VIBRATING FEEDER #1	SPEED POTENTIOMETER	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8021	N/A			PME010	OEM	OEM								
1	2400-HZ-2306	2400	HZ		400-BIN-02	WIDE VIBRATING FEEDER #2	SPEED POTETIOMETER	TBD	TBD	-	N/A	N/A	DSOT-DW-2400-IC-8023	N/A			PME010	OEM	OEM								
1	2400-II-2201	2400	II		400-VIS-01	FINE JIG CONCENTRATE SCREEN #1	CURRENT INDICATOR	N/A	N/A	N/A	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8022	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2202	2400	II		400-VIS-03	FINE JIG TALING SCREEN #1	CURRENT INDICATOR	N/A	N/A	N/A	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8022	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2203	2400	II		400-CVO-01	JIGS CONCENTRATRE CONVEYOR	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8022	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2204	2400	II		400-CVO-02	JIGS CONCENTRATRE TRANSFER CONVEYOR	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8022	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2205	2400	II		400-CVO-03	JIGS REFUSE CONVEYOR	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8022	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2401	2400	II		400-VIS-02	FINE JIG TAILING SCREEN #1	CURRENT INDICATOR	N/A	N/A	N/A	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8024	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2402	2400	II		400-VIS-04	FINE JIG TAILING SCREEN #2	CURRENT INDICATOR	N/A	N/A	N/A	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8024	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2506	2400	II		400-SLP-01	JIGS SCREENS TRANSFER PUMP	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8025	N/A	N/A	N/A	AECOM	N/A	N/A								
3	2400-II-2516	2400	II		400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8025	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2517	2400	II		400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	CURRENT INDICATOR	N/A	N/A	N/A	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8025	N/A	N/A	N/A	AECOM	N/A	N/A								
1	2400-II-2602	2400	II		400-BAM-01	BALL MILL	CURRENT INDICATOR	TBD	TBD	-	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8026	N/A			PME015	N/A	N/A								
1	2400-II-2831	2400	II		400-ROM-01	ROD MILL	CURRENT INDICATOR	TBD	TBD	-	2200-PLC-01	SOFT	DSOT-DW-2400-IC-8028	N/A			PST002	N/A	N/A								
1	2400-JI-2117	2400	JI		400-BLO-01	JIG AIR BLOWER #1	PROTECTION RELAY POWER	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A				I&C Contractor	I&C Contractor								
1	2400-JI-2317	2400	JI		400-BLO-02	JIG AIR BLOWER #2	PROTECTION RELAY POWER	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A			AECOM	I&C Contractor	I&C Contractor								
0	2400-JL-2602A	2400	JL		400-BAM-01	BALL MILL	POWER LIGHT	N/A	N/A	-	TBD	DO	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
0	2400-JL-2602B	2400	JL		400-BAM-01	BALL MILL	POWER LIGHT	TBD	TBD	-	TBD	DO	DSOT-DW-2400-IC-8026	N/A			PME015	OEM	OEM								
